City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cap malheureux,-19.986,57.6196,298.96,80,37,1.34,MU,1675115318
84,port lincoln,-34.7212,135.8592,290.2,71,1,2.66,AU,1675115319
85,tasiilaq,65.6153,-37.6378,261.94,86,100,1.94,GL,1675115319
86,hermanus,-34.4175,19.2361,292.5,76,0,7.91,ZA,1675115320
87,guerrero negro,27.971,-114.0364,291.78,47,79,5.56,MX,1675115320
88,lagoa,37.1326,-8.4551,283.86,55,1,4.64,PT,1675115320
89,mbandaka,0.0471,18.2565,295.29,90,56,1.84,CD,1675115321
90,new norfolk,-42.7802,147.0615,291.01,68,32,1.06,AU,1675115322
91,umkomaas,-30.2064,30.7961,293.19,94,100,2.71,ZA,1675115322
92,lata,18.3983,76.5621,294.96,51,19,2.55,IN,1675115323
93,mount gambier,-37.8247,140.782,289.25,69,5,1.54,AU,1675115324
94,arlit,18.7391,7.3933,291.14,4,100,4.11,NE,1675115324
95,neiafu,-18.6516,-173.9833,301.53,83,75,4.12,TO,1675115325
96,talnakh,69.494,88.3908,252.91,96,100,4.39,RU,1675115325
97,caldwell,30.5306,-96.697,274.97,94,100,6.17,US,1675115326
98,paamiut,61.9946,-49.6659,266.47,93,99,8.31,GL,1675115326
99,comodoro rivadavia,-45.8632,-67.4753,292.4,45,0,5.14,AR,1675115327
100,fallon,47.5076,6.4808,274.21,100,100,0.7,FR,1675115327
101,kamenskoye,53.1793,37.7767,269.39,83,100,7.0,RU,1675115328
102,bengkulu,-3.7923,102.2624,297.14,91,100,2.15,ID,1675115329
103,vaini,-21.1926,-175.1773,301.31,89,75,4.12,TO,1675115329
104,nur,52.6682,22.3181,274.39,92,100,7.29,PL,1675115330
105,khatanga,71.9819,102.4715,229.8,100,51,0.74,RU,1675115330
106,thompson,55.7433,-97.8635,249.25,70,40,7.2,CA,1675115330
107,nuuk,64.175,-51.7355,265.55,93,100,5.14,GL,1675115331
108,port macquarie,-31.4299,152.9104,296.95,92,86,3.47,AU,1675115331
109,beauvais,49.4301,2.0823,276.35,93,0,2.57,FR,1675115332
110,cape town,-33.929,18.4174,294.91,59,0,6.69,ZA,1675115332
111,praia da vitoria,38.7392,-27.1563,285.55,82,40,4.44,PT,1675115333
112,tuatapere,-46.1323,167.6908,296.99,56,77,0.95,NZ,1675115333
113,santa rosalia,26.6817,-105.4567,296.61,14,98,10.79,MX,1675115334
114,porto santo,33.0658,-16.3362,288.49,58,40,5.66,PT,1675115334
115,port elizabeth,-33.9617,25.6208,294.21,68,75,7.2,ZA,1675115335
116,meulaboh,4.1482,96.1339,297.85,90,100,1.13,ID,1675115335
117,bredasdorp,-34.5331,20.0428,292.05,76,21,7.91,ZA,1675115336
118,tuktoyaktuk,69.444,-133.0319,237.15,75,0,1.03,CA,1675115336
119,henties bay,-22.113,14.2882,291.03,83,92,3.6,NA,1675115337
